,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_SMA(C,10)","Exit_SMA(C,10)","Entry_SMA(C,20)","Exit_SMA(C,20)"
22,-27,484,509,386.14,373.08,,,352.62000000000006,0.033821929869995326,2006-07-21,2006-08-25,35 days,,405.95099999999996,378.329,410.12299999999993,377.023
23,29,509,515,373.08,379.87,,,196.9100000000006,0.01819984989814527,2006-08-25,2006-09-05,11 days,,378.329,378.085,377.023,378.3035
24,-29,515,517,379.87,379.39,,,13.920000000000528,0.0012635901755864154,2006-09-05,2006-09-07,2 days,,378.085,378.77599999999995,378.3035,378.338
25,29,517,582,379.39,481.94,,,2973.9500000000003,0.27030232742033267,2006-09-07,2006-12-08,92 days,,378.77599999999995,485.18199999999996,378.338,490.00149999999996
26,-29,582,603,481.94,497.2,,,-442.53999999999974,-0.03166369257583934,2006-12-08,2007-01-11,34 days,,485.18199999999996,478.73699999999997,490.00149999999996,473.71000000000004
27,27,603,618,497.2,482.61,,,-393.9299999999993,-0.029344328238133488,2007-01-11,2007-02-02,22 days,,478.73699999999997,489.4429999999999,473.71000000000004,491.201
28,-27,618,654,482.61,463.55,,,514.6200000000001,0.03949358695426952,2007-02-02,2007-03-27,53 days,,489.4429999999999,453.659,491.201,451.62749999999994
29,29,654,684,463.55,466.15,,,75.39999999999901,0.005608887930104611,2007-03-27,2007-05-09,43 days,,453.659,471.4030000000001,451.62749999999994,472.97599999999994
30,-29,684,696,466.15,479.7,,,-392.95000000000033,-0.02906789659980702,2007-05-09,2007-05-25,16 days,,471.4030000000001,471.195,472.97599999999994,469.7
31,27,696,739,479.7,508.53,,,778.4099999999996,0.06010006253908684,2007-05-25,2007-07-27,63 days,,471.195,528.236,469.7,533.9335
32,-27,739,765,508.53,515.02,,,-175.23000000000025,-0.012762275578628524,2007-07-27,2007-09-04,39 days,,528.236,513.0889999999999,533.9335,510.71500000000003
33,26,765,819,515.02,629.59,,,2978.8200000000015,0.2224573802959109,2007-09-04,2007-11-19,76 days,,513.0889999999999,665.597,510.71500000000003,678.5889999999999
34,-26,819,830,629.59,692.73,,,-1641.6399999999996,-0.1002874886831111,2007-11-19,2007-12-05,16 days,,665.597,682.325,678.5889999999999,669.2985
35,21,830,843,692.73,694.99,,,47.45999999999981,0.003262454347292554,2007-12-05,2007-12-24,19 days,,682.325,688.9620000000001,669.2985,692.9100000000001
36,-21,843,909,694.99,447.74,,,5192.25,0.35576051453977753,2007-12-24,2008-04-01,99 days,,688.9620000000001,446.258,692.9100000000001,440.76849999999996
37,44,909,947,447.74,546.96,,,4365.680000000001,0.22160182248626437,2008-04-01,2008-05-23,52 days,,446.258,570.55,440.76849999999996,574.0609999999999
38,-44,947,958,546.96,549.56,,,-114.399999999996,-0.004753546877285242,2008-05-23,2008-06-10,18 days,,570.55,571.6899999999999,574.0609999999999,569.9179999999999
39,43,958,961,549.56,561.49,,,512.9900000000027,0.021708275711478375,2008-06-10,2008-06-13,3 days,,571.6899999999999,564.952,569.9179999999999,566.3860000000001
40,-43,961,1005,561.49,506.99,,,2343.5,0.09706317120518615,2008-06-13,2008-08-15,63 days,,564.952,492.24399999999997,566.3860000000001,485.48549999999994
41,52,1005,1015,506.99,469.75,,,-1936.4800000000005,-0.07345312530819148,2008-08-15,2008-08-29,14 days,,492.24399999999997,481.37399999999997,485.48549999999994,486.809
