,Equity,DrawdownPct,DrawdownDuration
2009-01-06,37179.52146000001,0.029631034129817158,
2009-01-07,38529.12146000001,0.0,44 days
2009-01-08,39634.67298000002,0.0,
2009-01-09,38410.15298000002,0.030895171019019174,
2009-01-12,38122.17298000002,0.03816103139700988,
2009-01-13,38319.40298000002,0.03318483290283969,
2009-01-14,36704.05298000002,0.07394081443484624,
2009-01-15,36464.47298000002,0.07998552180813268,
2009-01-16,36546.75298000002,0.0779095617001353,
2009-01-20,34499.43298000002,0.1295643337991279,
2009-01-21,36959.36298000002,0.06749923233503108,
2009-01-22,35181.61162000003,0.1123526706590221,
2009-01-23,32979.411620000035,0.16791513237306843,
2009-01-26,33079.84162000003,0.16538123988830722,
2009-01-27,32159.03162000003,0.18861367580280675,
2009-01-28,30079.04162000003,0.2410927261799748,
2009-01-29,30726.39162000003,0.22475980474205448,
2009-01-30,31305.981620000035,0.21013649751072017,
2009-02-02,32265.596920000025,0.18592498703643878,
2009-02-03,32254.316920000027,0.18620958633175,
2009-02-04,32494.016920000027,0.18016185130638585,
2009-02-05,33501.69692000003,0.15473764759191366,
2009-02-06,35152.33692000002,0.11309128404470037,
2009-02-09,35856.39692000003,0.09532754469568949,
2009-02-10,33951.956920000026,0.14337739238740632,
2009-02-11,33907.77692000003,0.14449207296070854,
2009-02-12,34378.71692000003,0.13261005238146373,
2009-02-13,33873.93692000003,0.1453458708466424,
2009-02-17,32462.05692000003,0.1809682159764343,
2009-02-18,33444.35692000003,0.15618436067641261,
2009-02-19,32460.176920000027,0.1810156491923196,
2009-02-20,32818.31692000003,0.1719796215661873,
2009-02-23,31277.656920000027,0.21085114198411603,
2009-02-24,32724.316920000027,0.17435128236044772,
2009-02-25,32366.176920000027,0.18338730998658004,
2009-02-26,33467.49596000002,0.1556005526552976,
2009-02-27,33391.35596000002,0.1575215978986486,
2009-03-02,34409.37596000002,0.13183651149680797,
2009-03-03,34567.295960000025,0.12785212136245028,
2009-03-04,35183.935960000024,0.11229402655210174,
2009-03-05,36432.255960000024,0.08079837120432298,
2009-03-06,36156.835960000026,0.08774733733150608,
2009-03-09,37818.755960000024,0.04581637448898146,
2009-03-10,36194.435960000024,0.08679867301380195,
2009-03-11,35278.87596000002,0.10989864914989889,
2009-03-12,34750.59596000003,0.12322738281364232,
2009-03-13,34666.935960000024,0.1253381609205343,
2009-03-16,35111.55596000003,0.11412020536368228,
2009-03-17,33640.45596000003,0.1512366967938582,
2009-03-18,33851.01596000002,0.14592417661471513,
2009-03-19,34148.05596000003,0.1384297285048519,
2009-03-20,34127.37596000002,0.13895149387958938,
2009-03-23,32394.015960000022,0.182684918925752,
2009-03-24,32524.134960000025,0.17940196008651388,
2009-03-25,32235.834960000022,0.1866758942033787,
2009-03-26,33093.29496000003,0.16504180628160658,
2009-03-27,32573.424960000022,0.17815835199556607,
2009-03-30,32107.494960000022,0.1899139681005637,
2009-03-31,32606.904960000025,0.17731363706586556,
2009-04-01,33167.69496000002,0.16316466199338353,
2009-04-02,33949.82496000003,0.14343118266343746,
2009-04-03,34626.86496000002,0.12634916964060683,
2009-04-06,34483.64496000003,0.12996267239543624,
2009-04-07,33591.774960000024,0.15246493955051144,
2009-04-08,33903.32496000003,0.14460439784357693,
2009-04-09,34879.82496000003,0.11996687906064785,
2009-04-13,35401.55496000002,0.10680340473948302,
2009-04-14,34545.954960000025,0.12839056405404936,
2009-04-15,35530.82496000003,0.10354186653869524,
2009-04-16,36390.14496000003,0.08186085000971766,
2009-04-17,36715.64496000003,0.0736483437487413,
2009-04-20,35512.22496000002,0.10401115261075111,
2009-04-21,35714.034960000026,0.09891939872894573,
2009-04-22,35936.30496000002,0.09331143016787902,
2009-04-23,36013.494960000025,0.0913638929688475,
2009-04-24,36459.89496000003,0.0801010272395084,
2009-04-27,36130.674960000026,0.088407390714896,
2009-04-28,35922.35496000002,0.09366339472192098,
2009-04-29,36644.034960000026,0.07545509512615611,
2009-04-30,37062.534960000026,0.06489615850490082,
2009-05-01,36850.494960000025,0.07024601972633682,
2009-05-04,37621.46496000003,0.05079411203962425,
